n,iter
4,39
6,49
8,77
10,111
12,151
14,197
16,249
18,307
20,371
22,441
24,517
26,599
28,687
30,781
32,881
34,987
36,1099
38,1217
40,1341
42,1471
44,1607
46,1749
48,1897
50,2051
52,2211
54,2377
56,2549
58,2727
60,2911
62,3101
64,3297
66,3499
68,3707
70,3921
72,4141
74,4367
76,4599
78,4837
80,5081
82,5331
84,5587
86,5849
88,6117
90,6391
92,6671
94,6957
96,7249
98,7547
100,7851
102,8161
104,8477
106,8799
108,9127
110,9461
112,9801
114,10147
116,10499
118,10857
120,11221
122,11591
124,11967
126,12349
128,12737
130,13131
132,13531
134,13937
136,14349
138,14767
140,15191
142,15621
144,16057
146,16499
148,16947
150,17401
152,17861
154,18327
156,18799
158,19277
160,19761
162,20251
164,20747
166,21249
168,21757
170,22271
172,22791
174,23317
176,23849
178,24387
180,24931
182,25481
184,26037
186,26599
188,27167
190,27741
192,28321
194,28907
196,29499
198,30097
200,30701
202,31311
204,31927
206,32549
208,33177
210,33811
212,34451
214,35097
216,35749
218,36407
220,37071
222,37741
224,38417
226,39099
228,39787
230,40481
232,41181
234,41887
236,42599
238,43317
240,44041
242,44771
244,45507
246,46249
248,46997
250,47751
252,48511
254,49277
256,50049
258,50827
260,51611
262,52401
264,53197
266,53999
268,54807
270,55621
272,56441
274,57267
276,58099
278,58937
280,59781
282,60631
284,61487
286,62349
288,63217
290,64091
292,64971
294,65857
296,66749
298,67647
300,68551
302,69461
304,70377
306,71299
308,72227
310,73161
312,74101
314,75047
316,75999
318,76957
320,77921
322,78891
324,79867
326,80849
328,81837
330,82831
332,83831
334,84837
336,85849
338,86867
340,87891
342,88921
344,89957
346,90999
348,92047
350,93101
352,94161
354,95227
356,96299
358,97377
360,98461
362,99551
364,100647
366,101749
368,102857
370,103971
372,105091
374,106217
376,107349
378,108487
380,109631
382,110781
384,111937
386,113099
388,114267
390,115441
392,116621
394,117807
396,118999
398,120197
400,121401
402,122611
404,123827
406,125049
408,126277
410,127511
412,128751
414,129997
416,131249
418,132507
420,133771
422,135041
424,136317
426,137599
428,138887
430,140181
432,141481
434,142787
436,144099
438,145417
440,146741
442,148071
444,149407
446,150749
448,152097
450,153451
452,154811
454,156177
456,157549
458,158927
460,160311
462,161701
464,163097
466,164499
468,165907
470,167321
472,168741
474,170167
476,171599
478,173037
480,174481
482,175931
484,177387
486,178849
488,180317
490,181791
492,183271
494,184757
496,186249
498,187747
500,189251
502,190761
504,192277
506,193799
508,195327
510,196861
512,198401
514,199947
516,201499
518,203057
520,204621
522,206191
524,207767
526,209349
528,210937
530,212531
532,214131
534,215737
536,217349
538,218967
540,220591
542,222221
544,223857
546,225499
548,227147
550,228801
552,230461
554,232127
556,233799
558,235477
560,237161
562,238851
564,240547
566,242249
568,243957
570,245671
572,247391
574,249117
576,250849
578,252587
580,254331
582,256081
584,257837
586,259599
588,261367
590,263141
592,264921
594,266707
596,268499
598,270297
600,272101
602,273911
604,275727
606,277549
608,279377
610,281211
612,283051
614,284897
616,286749
618,288607
620,290471
622,292341
624,294217
626,296099
628,297987
630,299881
632,301781
634,303687
636,305599
638,307517
640,309441
642,311371
644,313307
646,315249
648,317197
650,319151
652,321111
654,323077
656,325049
658,327027
660,329011
662,331001
664,332997
666,334999
668,337007
670,339021
672,341041
674,343067
676,345099
678,347137
680,349181
682,351231
684,353287
686,355349
688,357417
690,359491
692,361571
694,363657
696,365749
698,367847
700,369951
702,372061
704,374177
706,376299
708,378427
710,380561
712,382701
714,384847
716,386999
718,389157
720,391321
722,393491
724,395667
726,397849
728,400037
730,402231
732,404431
734,406637
736,408849
738,411067
740,413291
742,415521
744,417757
746,419999
748,422247
750,424501
752,426761
754,429027
756,431299
758,433577
760,435861
762,438151
764,440447
766,442749
768,445057
770,447371
772,449691
774,452017
776,454349
778,456687
780,459031
782,461381
784,463737
786,466099
788,468467
790,470841
792,473221
794,475607
796,477999
798,480397
800,482801
802,485211
804,487627
806,490049
808,492477
810,494911
812,497351
814,499797
816,502249
818,504707
820,507171
822,509641
824,512117
826,514599
828,517087
830,519581
832,522081
834,524587
836,527099
838,529617
840,532141
842,534671
844,537207
846,539749
848,542297
850,544851
852,547411
854,549977
856,552549
858,555127
860,557711
862,560301
864,562897
866,565499
868,568107
870,570721
872,573341
874,575967
876,578599
878,581237
880,583881
882,586531
884,589187
886,591849
888,594517
890,597191
892,599871
894,602557
896,605249
898,607947
900,610651
902,613361
904,616077
906,618799
908,621527
910,624261
912,627001
914,629747
916,632499
918,635257
920,638021
922,640791
924,643567
926,646349
928,649137
930,651931
932,654731
934,657537
936,660349
938,663167
940,665991
942,668821
944,671657
946,674499
948,677347
950,680201
952,683061
954,685927
956,688799
958,691677
960,694561
962,697451
964,700347
966,703249
968,706157
970,709071
972,711991
974,714917
976,717849
978,720787
980,723731
982,726681
984,729637
986,732599
988,735567
990,738541
992,741521
994,744507
996,747499
998,750497
1000,753501
1002,756511
