n,iter
0,0
2,6
4,12
6,18
8,24
10,30
12,36
14,42
16,48
18,54
20,60
22,66
24,72
26,78
28,84
30,90
32,96
34,102
36,108
38,114
40,120
42,126
44,132
46,138
48,144
50,150
52,156
54,162
56,168
58,174
60,180
62,186
64,192
66,198
68,204
70,210
72,216
74,222
76,228
78,234
80,240
82,246
84,252
86,258
88,264
90,270
92,276
94,282
96,288
98,294
100,300
102,306
104,312
106,318
108,324
110,330
112,336
114,342
116,348
118,354
120,360
122,366
124,372
126,378
128,384
130,390
132,396
134,402
136,408
138,414
140,420
142,426
144,432
146,438
148,444
150,450
152,456
154,462
156,468
158,474
160,480
162,486
164,492
166,498
168,504
170,510
172,516
174,522
176,528
178,534
180,540
182,546
184,552
186,558
188,564
190,570
192,576
194,582
196,588
198,594
200,600
202,606
204,612
206,618
208,624
210,630
212,636
214,642
216,648
218,654
220,660
222,666
224,672
226,678
228,684
230,690
232,696
234,702
236,708
238,714
240,720
242,726
244,732
246,738
248,744
250,750
252,756
254,762
256,768
258,774
260,780
262,786
264,792
266,798
268,804
270,810
272,816
274,822
276,828
278,834
280,840
282,846
284,852
286,858
288,864
290,870
292,876
294,882
296,888
298,894
300,900
302,906
304,912
306,918
308,924
310,930
312,936
314,942
316,948
318,954
320,960
322,966
324,972
326,978
328,984
330,990
332,996
334,1002
336,1008
338,1014
340,1020
342,1026
344,1032
346,1038
348,1044
350,1050
352,1056
354,1062
356,1068
358,1074
360,1080
362,1086
364,1092
366,1098
368,1104
370,1110
372,1116
374,1122
376,1128
378,1134
380,1140
382,1146
384,1152
386,1158
388,1164
390,1170
392,1176
394,1182
396,1188
398,1194
400,1200
402,1206
404,1212
406,1218
408,1224
410,1230
412,1236
414,1242
416,1248
418,1254
420,1260
422,1266
424,1272
426,1278
428,1284
430,1290
432,1296
434,1302
436,1308
438,1314
440,1320
442,1326
444,1332
446,1338
448,1344
450,1350
452,1356
454,1362
456,1368
458,1374
460,1380
462,1386
464,1392
466,1398
468,1404
470,1410
472,1416
474,1422
476,1428
478,1434
480,1440
482,1446
484,1452
486,1458
488,1464
490,1470
492,1476
494,1482
496,1488
498,1494
500,1500
502,1506
504,1512
506,1518
508,1524
510,1530
512,1536
514,1542
516,1548
518,1554
520,1560
522,1566
524,1572
526,1578
528,1584
530,1590
532,1596
534,1602
536,1608
538,1614
540,1620
542,1626
544,1632
546,1638
548,1644
550,1650
552,1656
554,1662
556,1668
558,1674
560,1680
562,1686
564,1692
566,1698
568,1704
570,1710
572,1716
574,1722
576,1728
578,1734
580,1740
582,1746
584,1752
586,1758
588,1764
590,1770
592,1776
594,1782
596,1788
598,1794
600,1800
602,1806
604,1812
606,1818
608,1824
610,1830
612,1836
614,1842
616,1848
618,1854
620,1860
622,1866
624,1872
626,1878
628,1884
630,1890
632,1896
634,1902
636,1908
638,1914
640,1920
642,1926
644,1932
646,1938
648,1944
650,1950
652,1956
654,1962
656,1968
658,1974
660,1980
662,1986
664,1992
666,1998
668,2004
670,2010
672,2016
674,2022
676,2028
678,2034
680,2040
682,2046
684,2052
686,2058
688,2064
690,2070
692,2076
694,2082
696,2088
698,2094
700,2100
702,2106
704,2112
706,2118
708,2124
710,2130
712,2136
714,2142
716,2148
718,2154
720,2160
722,2166
724,2172
726,2178
728,2184
730,2190
732,2196
734,2202
736,2208
738,2214
740,2220
742,2226
744,2232
746,2238
748,2244
750,2250
752,2256
754,2262
756,2268
758,2274
760,2280
762,2286
764,2292
766,2298
768,2304
770,2310
772,2316
774,2322
776,2328
778,2334
780,2340
782,2346
784,2352
786,2358
788,2364
790,2370
792,2376
794,2382
796,2388
798,2394
800,2400
802,2406
804,2412
806,2418
808,2424
810,2430
812,2436
814,2442
816,2448
818,2454
820,2460
822,2466
824,2472
826,2478
828,2484
830,2490
832,2496
834,2502
836,2508
838,2514
840,2520
842,2526
844,2532
846,2538
848,2544
850,2550
852,2556
854,2562
856,2568
858,2574
860,2580
862,2586
864,2592
866,2598
868,2604
870,2610
872,2616
874,2622
876,2628
878,2634
880,2640
882,2646
884,2652
886,2658
888,2664
890,2670
892,2676
894,2682
896,2688
898,2694
900,2700
902,2706
904,2712
906,2718
908,2724
910,2730
912,2736
914,2742
916,2748
918,2754
920,2760
922,2766
924,2772
926,2778
928,2784
930,2790
932,2796
934,2802
936,2808
938,2814
940,2820
942,2826
944,2832
946,2838
948,2844
950,2850
952,2856
954,2862
956,2868
958,2874
960,2880
962,2886
964,2892
966,2898
968,2904
970,2910
972,2916
974,2922
976,2928
978,2934
980,2940
982,2946
984,2952
986,2958
988,2964
990,2970
992,2976
994,2982
996,2988
998,2994
