n,iter
2,17
4,53
6,97
8,149
10,209
12,277
14,353
16,437
18,529
20,629
22,737
24,853
26,977
28,1109
30,1249
32,1397
34,1553
36,1717
38,1889
40,2069
42,2257
44,2453
46,2657
48,2869
50,3089
52,3317
54,3553
56,3797
58,4049
60,4309
62,4577
64,4853
66,5137
68,5429
70,5729
72,6037
74,6353
76,6677
78,7009
80,7349
82,7697
84,8053
86,8417
88,8789
90,9169
92,9557
94,9953
96,10357
98,10769
100,11189
102,11617
104,12053
106,12497
108,12949
110,13409
112,13877
114,14353
116,14837
118,15329
120,15829
122,16337
124,16853
126,17377
128,17909
130,18449
132,18997
134,19553
136,20117
138,20689
140,21269
142,21857
144,22453
146,23057
148,23669
150,24289
152,24917
154,25553
156,26197
158,26849
160,27509
162,28177
164,28853
166,29537
168,30229
170,30929
172,31637
174,32353
176,33077
178,33809
180,34549
182,35297
184,36053
186,36817
188,37589
190,38369
192,39157
194,39953
196,40757
198,41569
200,42389
202,43217
204,44053
206,44897
208,45749
210,46609
212,47477
214,48353
216,49237
218,50129
220,51029
222,51937
224,52853
226,53777
228,54709
230,55649
232,56597
234,57553
236,58517
238,59489
240,60469
242,61457
244,62453
246,63457
248,64469
250,65489
252,66517
254,67553
256,68597
258,69649
260,70709
262,71777
264,72853
266,73937
268,75029
270,76129
272,77237
274,78353
276,79477
278,80609
280,81749
282,82897
284,84053
286,85217
288,86389
290,87569
292,88757
294,89953
296,91157
298,92369
300,93589
302,94817
304,96053
306,97297
308,98549
310,99809
312,101077
314,102353
316,103637
318,104929
320,106229
322,107537
324,108853
326,110177
328,111509
330,112849
332,114197
334,115553
336,116917
338,118289
340,119669
342,121057
344,122453
346,123857
348,125269
350,126689
352,128117
354,129553
356,130997
358,132449
360,133909
362,135377
364,136853
366,138337
368,139829
370,141329
372,142837
374,144353
376,145877
378,147409
380,148949
382,150497
384,152053
386,153617
388,155189
390,156769
392,158357
394,159953
396,161557
398,163169
400,164789
402,166417
404,168053
406,169697
408,171349
410,173009
412,174677
414,176353
416,178037
418,179729
420,181429
422,183137
424,184853
426,186577
428,188309
430,190049
432,191797
434,193553
436,195317
438,197089
440,198869
442,200657
444,202453
446,204257
448,206069
450,207889
452,209717
454,211553
456,213397
458,215249
460,217109
462,218977
464,220853
466,222737
468,224629
470,226529
472,228437
474,230353
476,232277
478,234209
480,236149
482,238097
484,240053
486,242017
488,243989
490,245969
492,247957
494,249953
496,251957
498,253969
500,255989
502,258017
504,260053
506,262097
508,264149
510,266209
512,268277
514,270353
516,272437
518,274529
520,276629
522,278737
524,280853
526,282977
528,285109
530,287249
532,289397
534,291553
536,293717
538,295889
540,298069
542,300257
544,302453
546,304657
548,306869
550,309089
552,311317
554,313553
556,315797
558,318049
560,320309
562,322577
564,324853
566,327137
568,329429
570,331729
572,334037
574,336353
576,338677
578,341009
580,343349
582,345697
584,348053
586,350417
588,352789
590,355169
592,357557
594,359953
596,362357
598,364769
600,367189
602,369617
604,372053
606,374497
608,376949
610,379409
612,381877
614,384353
616,386837
618,389329
620,391829
622,394337
624,396853
626,399377
628,401909
630,404449
632,406997
634,409553
636,412117
638,414689
640,417269
642,419857
644,422453
646,425057
648,427669
650,430289
652,432917
654,435553
656,438197
658,440849
660,443509
662,446177
664,448853
666,451537
668,454229
670,456929
672,459637
674,462353
676,465077
678,467809
680,470549
682,473297
684,476053
686,478817
688,481589
690,484369
692,487157
694,489953
696,492757
698,495569
700,498389
702,501217
704,504053
706,506897
708,509749
710,512609
712,515477
714,518353
716,521237
718,524129
720,527029
722,529937
724,532853
726,535777
728,538709
730,541649
732,544597
734,547553
736,550517
738,553489
740,556469
742,559457
744,562453
746,565457
748,568469
750,571489
752,574517
754,577553
756,580597
758,583649
760,586709
762,589777
764,592853
766,595937
768,599029
770,602129
772,605237
774,608353
776,611477
778,614609
780,617749
782,620897
784,624053
786,627217
788,630389
790,633569
792,636757
794,639953
796,643157
798,646369
800,649589
802,652817
804,656053
806,659297
808,662549
810,665809
812,669077
814,672353
816,675637
818,678929
820,682229
822,685537
824,688853
826,692177
828,695509
830,698849
832,702197
834,705553
836,708917
838,712289
840,715669
842,719057
844,722453
846,725857
848,729269
850,732689
852,736117
854,739553
856,742997
858,746449
860,749909
862,753377
864,756853
866,760337
868,763829
870,767329
872,770837
874,774353
876,777877
878,781409
880,784949
882,788497
884,792053
886,795617
888,799189
890,802769
892,806357
894,809953
896,813557
898,817169
900,820789
902,824417
904,828053
906,831697
908,835349
910,839009
912,842677
914,846353
916,850037
918,853729
920,857429
922,861137
924,864853
926,868577
928,872309
930,876049
932,879797
934,883553
936,887317
938,891089
940,894869
942,898657
944,902453
946,906257
948,910069
950,913889
952,917717
954,921553
956,925397
958,929249
960,933109
962,936977
964,940853
966,944737
968,948629
970,952529
972,956437
974,960353
976,964277
978,968209
980,972149
982,976097
984,980053
986,984017
988,987989
990,991969
992,995957
994,999953
996,1003957
998,1007969
1000,1011989
