n,iter
0,0
2,6
4,16
6,30
8,48
10,70
12,96
14,126
16,160
18,198
20,240
22,286
24,336
26,390
28,448
30,510
32,576
34,646
36,720
38,798
40,880
42,966
44,1056
46,1150
48,1248
50,1350
52,1456
54,1566
56,1680
58,1798
60,1920
62,2046
64,2176
66,2310
68,2448
70,2590
72,2736
74,2886
76,3040
78,3198
80,3360
82,3526
84,3696
86,3870
88,4048
90,4230
92,4416
94,4606
96,4800
98,4998
100,5200
102,5406
104,5616
106,5830
108,6048
110,6270
112,6496
114,6726
116,6960
118,7198
120,7440
122,7686
124,7936
126,8190
128,8448
130,8710
132,8976
134,9246
136,9520
138,9798
140,10080
142,10366
144,10656
146,10950
148,11248
150,11550
152,11856
154,12166
156,12480
158,12798
160,13120
162,13446
164,13776
166,14110
168,14448
170,14790
172,15136
174,15486
176,15840
178,16198
180,16560
182,16926
184,17296
186,17670
188,18048
190,18430
192,18816
194,19206
196,19600
198,19998
200,20400
202,20806
204,21216
206,21630
208,22048
210,22470
212,22896
214,23326
216,23760
218,24198
220,24640
222,25086
224,25536
226,25990
228,26448
230,26910
232,27376
234,27846
236,28320
238,28798
240,29280
242,29766
244,30256
246,30750
248,31248
250,31750
252,32256
254,32766
256,33280
258,33798
260,34320
262,34846
264,35376
266,35910
268,36448
270,36990
272,37536
274,38086
276,38640
278,39198
280,39760
282,40326
284,40896
286,41470
288,42048
290,42630
292,43216
294,43806
296,44400
298,44998
300,45600
302,46206
304,46816
306,47430
308,48048
310,48670
312,49296
314,49926
316,50560
318,51198
320,51840
322,52486
324,53136
326,53790
328,54448
330,55110
332,55776
334,56446
336,57120
338,57798
340,58480
342,59166
344,59856
346,60550
348,61248
350,61950
352,62656
354,63366
356,64080
358,64798
360,65520
362,66246
364,66976
366,67710
368,68448
370,69190
372,69936
374,70686
376,71440
378,72198
380,72960
382,73726
384,74496
386,75270
388,76048
390,76830
392,77616
394,78406
396,79200
398,79998
400,80800
402,81606
404,82416
406,83230
408,84048
410,84870
412,85696
414,86526
416,87360
418,88198
420,89040
422,89886
424,90736
426,91590
428,92448
430,93310
432,94176
434,95046
436,95920
438,96798
440,97680
442,98566
444,99456
446,100350
448,101248
450,102150
452,103056
454,103966
456,104880
458,105798
460,106720
462,107646
464,108576
466,109510
468,110448
470,111390
472,112336
474,113286
476,114240
478,115198
480,116160
482,117126
484,118096
486,119070
488,120048
490,121030
492,122016
494,123006
496,124000
498,124998
500,126000
502,127006
504,128016
506,129030
508,130048
510,131070
512,132096
514,133126
516,134160
518,135198
520,136240
522,137286
524,138336
526,139390
528,140448
530,141510
532,142576
534,143646
536,144720
538,145798
540,146880
542,147966
544,149056
546,150150
548,151248
550,152350
552,153456
554,154566
556,155680
558,156798
560,157920
562,159046
564,160176
566,161310
568,162448
570,163590
572,164736
574,165886
576,167040
578,168198
580,169360
582,170526
584,171696
586,172870
588,174048
590,175230
592,176416
594,177606
596,178800
598,179998
600,181200
602,182406
604,183616
606,184830
608,186048
610,187270
612,188496
614,189726
616,190960
618,192198
620,193440
622,194686
624,195936
626,197190
628,198448
630,199710
632,200976
634,202246
636,203520
638,204798
640,206080
642,207366
644,208656
646,209950
648,211248
650,212550
652,213856
654,215166
656,216480
658,217798
660,219120
662,220446
664,221776
666,223110
668,224448
670,225790
672,227136
674,228486
676,229840
678,231198
680,232560
682,233926
684,235296
686,236670
688,238048
690,239430
692,240816
694,242206
696,243600
698,244998
700,246400
702,247806
704,249216
706,250630
708,252048
710,253470
712,254896
714,256326
716,257760
718,259198
720,260640
722,262086
724,263536
726,264990
728,266448
730,267910
732,269376
734,270846
736,272320
738,273798
740,275280
742,276766
744,278256
746,279750
748,281248
750,282750
752,284256
754,285766
756,287280
758,288798
760,290320
762,291846
764,293376
766,294910
768,296448
770,297990
772,299536
774,301086
776,302640
778,304198
780,305760
782,307326
784,308896
786,310470
788,312048
790,313630
792,315216
794,316806
796,318400
798,319998
800,321600
802,323206
804,324816
806,326430
808,328048
810,329670
812,331296
814,332926
816,334560
818,336198
820,337840
822,339486
824,341136
826,342790
828,344448
830,346110
832,347776
834,349446
836,351120
838,352798
840,354480
842,356166
844,357856
846,359550
848,361248
850,362950
852,364656
854,366366
856,368080
858,369798
860,371520
862,373246
864,374976
866,376710
868,378448
870,380190
872,381936
874,383686
876,385440
878,387198
880,388960
882,390726
884,392496
886,394270
888,396048
890,397830
892,399616
894,401406
896,403200
898,404998
900,406800
902,408606
904,410416
906,412230
908,414048
910,415870
912,417696
914,419526
916,421360
918,423198
920,425040
922,426886
924,428736
926,430590
928,432448
930,434310
932,436176
934,438046
936,439920
938,441798
940,443680
942,445566
944,447456
946,449350
948,451248
950,453150
952,455056
954,456966
956,458880
958,460798
960,462720
962,464646
964,466576
966,468510
968,470448
970,472390
972,474336
974,476286
976,478240
978,480198
980,482160
982,484126
984,486096
986,488070
988,490048
990,492030
992,494016
994,496006
996,498000
998,499998
