n,iter
0,0
2,24
4,50
6,82
8,120
10,164
12,214
14,270
16,332
18,400
20,474
22,554
24,640
26,732
28,830
30,934
32,1044
34,1160
36,1282
38,1410
40,1544
42,1684
44,1830
46,1982
48,2140
50,2304
52,2474
54,2650
56,2832
58,3020
60,3214
62,3414
64,3620
66,3832
68,4050
70,4274
72,4504
74,4740
76,4982
78,5230
80,5484
82,5744
84,6010
86,6282
88,6560
90,6844
92,7134
94,7430
96,7732
98,8040
100,8354
102,8674
104,9000
106,9332
108,9670
110,10014
112,10364
114,10720
116,11082
118,11450
120,11824
122,12204
124,12590
126,12982
128,13380
130,13784
132,14194
134,14610
136,15032
138,15460
140,15894
142,16334
144,16780
146,17232
148,17690
150,18154
152,18624
154,19100
156,19582
158,20070
160,20564
162,21064
164,21570
166,22082
168,22600
170,23124
172,23654
174,24190
176,24732
178,25280
180,25834
182,26394
184,26960
186,27532
188,28110
190,28694
192,29284
194,29880
196,30482
198,31090
200,31704
202,32324
204,32950
206,33582
208,34220
210,34864
212,35514
214,36170
216,36832
218,37500
220,38174
222,38854
224,39540
226,40232
228,40930
230,41634
232,42344
234,43060
236,43782
238,44510
240,45244
242,45984
244,46730
246,47482
248,48240
250,49004
252,49774
254,50550
256,51332
258,52120
260,52914
262,53714
264,54520
266,55332
268,56150
270,56974
272,57804
274,58640
276,59482
278,60330
280,61184
282,62044
284,62910
286,63782
288,64660
290,65544
292,66434
294,67330
296,68232
298,69140
300,70054
302,70974
304,71900
306,72832
308,73770
310,74714
312,75664
