steps,digits
0,0
100,1
200,2
300,2
400,2
500,2
600,2
700,3
800,3
900,3
1000,3
1100,3
1200,3
1300,3
1400,3
1500,3
1600,3
1700,3
1800,4
1900,4
2000,4
2100,4
2200,4
2300,4
2400,4
2500,4
2600,4
2700,4
2800,4
2900,4
3000,4
3100,4
3200,4
3300,4
3400,4
3500,4
3600,4
3700,5
3800,5
3900,5
4000,5
4100,5
4200,5
4300,5
4400,5
4500,5
4600,5
4700,5
4800,5
4900,5
5000,5
5100,5
5200,5
5300,5
5400,5
5500,5
5600,5
5700,5
5800,5
5900,5
6000,5
6100,5
6200,5
6300,5
6400,5
6500,5
6600,5
6700,5
6800,6
6900,6
7000,6
7100,6
7200,6
7300,6
7400,6
7500,6
7600,6
7700,6
7800,6
7900,6
8000,6
8100,6
8200,6
8300,6
8400,6
8500,6
8600,6
8700,6
8800,6
8900,6
9000,6
9100,6
9200,6
9300,6
9400,6
9500,6
9600,6
9700,6
9800,6
9900,6
10000,6
10100,6
10200,6
10300,6
10400,6
10500,6
10600,6
10700,6
10800,6
10900,6
11000,6
11100,6
11200,6
11300,6
11400,6
11500,7
11600,7
11700,7
11800,7
11900,7
12000,7
12100,7
12200,7
12300,7
12400,7
12500,7
12600,7
12700,7
12800,7
12900,7
13000,7
13100,7
13200,7
13300,7
13400,7
13500,7
13600,7
13700,7
13800,7
13900,7
14000,7
14100,7
14200,7
14300,7
14400,7
14500,7
14600,7
14700,7
14800,7
14900,7
15000,7
15100,7
15200,7
15300,7
15400,7
15500,7
15600,7
15700,7
15800,7
15900,7
16000,7
16100,7
16200,7
16300,7
16400,7
16500,7
16600,7
16700,7
16800,7
16900,7
17000,7
17100,7
17200,7
17300,7
17400,7
17500,7
17600,7
17700,7
17800,7
17900,7
18000,7
18100,7
18200,8
18300,8
18400,8
18500,8
18600,8
18700,8
18800,8
18900,8
19000,8
19100,8
19200,8
19300,8
19400,8
19500,8
19600,8
19700,8
19800,8
19900,8
20000,8
20100,8
20200,8
20300,8
20400,8
20500,8
20600,8
20700,8
20800,8
20900,8
21000,8
21100,8
21200,8
21300,8
21400,8
21500,8
21600,8
21700,8
21800,8
21900,8
22000,8
22100,8
22200,8
22300,8
22400,8
22500,8
22600,8
22700,8
22800,8
22900,8
23000,8
23100,8
23200,8
23300,8
23400,8
23500,8
23600,8
23700,8
23800,8
23900,8
24000,8
24100,8
24200,8
24300,8
24400,8
24500,8
24600,8
24700,8
24800,8
24900,8
25000,8
25100,8
25200,8
25300,8
25400,8
25500,8
25600,8
25700,8
25800,8
25900,8
26000,8
26100,8
26200,8
26300,8
26400,8
26500,8
26600,8
26700,8
26800,8
26900,8
27000,8
27100,8
27200,8
27300,8
27400,8
27500,8
27600,9
27700,9
27800,9
27900,9
28000,9
28100,9
28200,9
28300,9
28400,9
28500,9
28600,9
28700,9
28800,9
28900,9
29000,9
29100,9
29200,9
29300,9
29400,9
29500,9
29600,9
29700,9
29800,9
29900,9
30000,9
30100,9
30200,9
30300,9
30400,9
30500,9
30600,9
30700,9
30800,9
30900,9
31000,9
31100,9
31200,9
31300,9
31400,9
31500,9
31600,9
31700,9
31800,9
31900,9
32000,9
32100,9
32200,9
32300,9
32400,9
32500,9
32600,9
32700,9
32800,9
32900,9
33000,9
33100,9
33200,9
33300,9
33400,9
33500,9
33600,9
33700,9
33800,9
33900,9
34000,9
34100,9
34200,9
34300,9
34400,9
34500,9
34600,9
34700,9
34800,9
34900,9
35000,9
35100,9
35200,9
35300,9
35400,9
35500,9
35600,9
35700,9
35800,9
35900,9
36000,9
36100,9
36200,9
36300,9
36400,9
36500,9
36600,9
36700,9
36800,9
36900,9
37000,9
37100,9
37200,9
37300,9
37400,9
37500,9
37600,9
37700,9
37800,9
37900,9
38000,9
38100,9
38200,9
38300,9
38400,9
38500,9
38600,9
38700,9
38800,9
38900,9
39000,9
39100,9
39200,9
39300,9
39400,9
39500,9
39600,9
39700,9
39800,9
39900,9
40000,9
40100,10
40200,10
40300,10
40400,10
40500,10
40600,10
40700,10
40800,10
40900,10
41000,10
41100,10
41200,10
41300,10
41400,10
41500,10
41600,10
41700,10
41800,10
41900,10
42000,10
42100,10
42200,10
42300,10
42400,10
42500,10
42600,10
42700,10
42800,10
